datetime,code,open,close,high,low,vol,amount,p_change
2016-8-22,300,3364.68,3336.79,3372.83,3335.47,1079510,1.28202E+11,-0.84
2016-8-23,300,3332.62,3341.83,3359.65,3324.96,929245,1.08504E+11,0.15
2016-8-24,300,3341.93,3329.86,3348.13,3323.73,811914,94012833792,-0.36
2016-8-25,300,3314.08,3308.97,3315.08,3279.81,1005891,1.12578E+11,-0.63
2016-8-26,300,3312.5,3307.09,3328.95,3301.74,815306,93213204480,-0.06
2016-8-29,300,3306.57,3307.78,3315.08,3297.07,770363,88011644928,0.02
2016-8-30,300,3310.32,3311.99,3325.12,3304.6,757259,89513017344,0.13
2016-8-31,300,3310.57,3327.79,3333.97,3304.66,795708,99215040512,0.48
2016-9-1,300,3326.74,3301.58,3329.35,3301.21,849472,1.00911E+11,-0.79
2016-9-2,300,3298.72,3314.11,3320.43,3295.76,827918,99396378624,0.38
2016-9-5,300,3321.01,3319.68,3338.42,3314.63,782924,87531085824,0.17
2016-9-6,300,3322.02,3342.63,3347.95,3300.13,982840,1.18367E+11,0.69
2016-9-7,300,3344.07,3340.82,3357.36,3337.75,1029401,1.1512E+11,-0.05
2016-9-8,300,3338.01,3339.56,3343.4,3328.23,719161,83742343168,-0.04
2016-9-9,300,3339.37,3318.04,3344.95,3318.04,826570,95471190016,-0.64
2016-9-12,300,3271.87,3262.6,3276.72,3234.57,1229176,1.34457E+11,-1.67
2016-9-13,300,3265.34,3260.33,3269.22,3246.39,671802,76862644224,-0.07
2016-9-14,300,3245.74,3238.73,3255,3231.34,704326,79780749312,-0.66
2016-9-19,300,3242.74,3263.12,3264.9,3242.74,588310,67678031872,0.75
2016-9-20,300,3264.67,3257.4,3265.03,3252.39,527842,61626150912,-0.18
2016-9-21,300,3257.71,3266.64,3270.9,3254.32,591429,68957741056,0.28
2016-9-22,300,3281.47,3291.12,3303.2,3277.98,757535,89991757824,0.75
2016-9-23,300,3292.28,3275.67,3293.92,3275.02,579939,68046258176,-0.47
2016-9-26,300,3267.69,3220.28,3267.69,3220.28,704521,78700838912,-1.69
2016-9-27,300,3214.87,3240.75,3240.78,3214.44,584605,66651131904,0.64
2016-9-28,300,3243.65,3230.89,3243.65,3228,447274,51996405760,-0.3
2016-9-29,300,3234.86,3244.39,3257.77,3234.8,554525,62220300288,0.42
2016-9-30,300,3240.18,3253.28,3260.94,3239.04,449780,52655734784,0.27
2016-10-10,300,3265.36,3293.87,3294.64,3258.96,805192,89607987200,1.25
2016-10-11,300,3296.87,3306.56,3308,3292.88,877131,88213422080,0.39
2016-10-12,300,3299.14,3300.01,3302.56,3289.75,686697,72386912256,-0.2
2016-10-13,300,3299.16,3302.65,3307.41,3292.4,812242,79923748864,0.08
2016-10-14,300,3298.73,3305.85,3306.69,3285.73,823162,81485594624,0.1
2016-10-17,300,3305.96,3277.88,3309.01,3271.54,861135,88199421952,-0.85
2016-10-18,300,3272.68,3321.33,3321.33,3272.68,1028607,1.04625E+11,1.33
2016-10-19,300,3323.3,3316.24,3332.52,3309.83,1011677,96354443264,-0.15
2016-10-20,300,3317.18,3318.6,3324.9,3312.17,792388,82481094656,0.07
2016-10-21,300,3315.72,3327.74,3341.56,3309.18,1097851,1.07115E+11,0.28
2016-10-24,300,3332.51,3367.58,3382.83,3330.97,1530143,1.50063E+11,1.2
2016-10-25,300,3367.48,3367.45,3373.91,3356.59,1111917,1.10577E+11,0
2016-10-26,300,3365.2,3354.8,3367.83,3349.57,980247,1.04719E+11,-0.38
2016-10-27,300,3351.46,3345.7,3352.35,3335.13,776298,85241012224,-0.27
2016-10-28,300,3347.14,3340.13,3370.75,3337.29,931333,1.04798E+11,-0.17
2016-10-31,300,3332.41,3336.28,3340.47,3317.33,713528,80701825024,-0.12
2016-11-1,300,3338.71,3359.05,3359.39,3334.46,749382,84717682688,0.68
2016-11-2,300,3350.71,3333.35,3356.4,3331.38,911971,1.00349E+11,-0.77
2016-11-3,300,3326.9,3365.08,3379.99,3324.84,1262235,1.37386E+11,0.95
2016-11-4,300,3362.21,3354.17,3377.64,3348.43,1040696,1.10814E+11,-0.32
2016-11-7,300,3353.44,3356.59,3362.74,3342.31,998779,94370873344,0.07
2016-11-8,300,3367.7,3371.12,3383.92,3361.13,1031482,1.05138E+11,0.43
2016-11-9,300,3370.6,3353.05,3373.1,3322.08,1391100,1.45187E+11,-0.54
2016-11-10,300,3374.91,3390.61,3403.02,3374.91,1347055,1.33277E+11,1.12
2016-11-11,300,3387.95,3417.22,3422.67,3382.89,1987815,1.90647E+11,0.78
2016-11-14,300,3409.22,3430.25,3452.62,3408.14,2132471,2.08353E+11,0.38
2016-11-15,300,3428.87,3429.87,3434.92,3415.99,1345663,1.35207E+11,-0.01
2016-11-16,300,3432.43,3429.59,3435.64,3419.24,1298085,1.28945E+11,-0.01
2016-11-17,300,3423.47,3436.53,3437.67,3412.88,1215617,1.21577E+11,0.2
2016-11-18,300,3437.49,3417.46,3443.12,3413.27,1159512,1.17346E+11,-0.55
2016-11-21,300,3412.65,3441.11,3463.14,3412.08,1464345,1.47543E+11,0.69
2016-11-22,300,3443.22,3468.36,3469.22,3443.22,1685234,1.67251E+11,0.79
2016-11-23,300,3473.9,3474.73,3492.96,3465.76,1623885,1.71247E+11,0.18
2016-11-24,300,3468.81,3488.74,3508.16,3467.01,1457463,1.65071E+11,0.4
2016-11-25,300,3490.04,3521.3,3521.3,3463.95,1536215,1.66832E+11,0.93
2016-11-28,300,3538.68,3535.08,3553.36,3528.32,2073754,2.1986E+11,0.39
2016-11-29,300,3525.9,3564.04,3583.72,3521.38,2369183,2.48323E+11,0.82
2016-11-30,300,3557.64,3538,3567.07,3527.02,1785601,1.90681E+11,-0.73
2016-12-1,300,3543.96,3565.04,3575.97,3543.25,1801707,1.99638E+11,0.76
2016-12-2,300,3559.77,3528.95,3562.55,3516.79,1963554,2.03742E+11,-1.01
2016-12-5,300,3473.69,3469.41,3496.88,3457.34,1808523,1.90175E+11,-1.69
2016-12-6,300,3466.24,3459.15,3477.59,3456.81,1155290,1.25728E+11,-0.3
2016-12-7,300,3458.37,3475.75,3475.75,3445.76,1143451,1.15282E+11,0.48
2016-12-8,300,3481.81,3470.14,3484.34,3466.51,1173839,1.19189E+11,-0.16
2016-12-9,300,3464.87,3493.7,3507.93,3461.76,1503033,1.52675E+11,0.68
2016-12-12,300,3489.27,3409.18,3495.8,3400.79,1874677,1.99164E+11,-2.42
2016-12-13,300,3394.21,3405.04,3416.21,3370.6,1211051,1.24454E+11,-0.12
2016-12-14,300,3399.41,3378.95,3412.28,3378.27,1240077,1.26183E+11,-0.77
2016-12-15,300,3363.86,3340.43,3378.04,3327.14,1149606,1.21508E+11,-1.14
2016-12-16,300,3335.36,3346.03,3356.29,3330.49,907754,98112208896,0.17
2016-12-19,300,3342.35,3328.98,3344.86,3325,816406,86095691776,-0.51
2016-12-20,300,3328.3,3309.06,3329.1,3289.27,875695,88527347712,-0.6
2016-12-21,300,3313.75,3338.54,3342.48,3313.75,1082549,1.06205E+11,0.89
2016-12-22,300,3335.12,3335.67,3340.36,3322.72,922772,92564881408,-0.09
2016-12-23,300,3333.4,3307.6,3334.89,3300.88,974447,99575472128,-0.84
2016-12-26,300,3293.22,3322.4,3322.42,3267.05,897939,95493218304,0.45
2016-12-27,300,3319.21,3316.39,3330.23,3315.83,754863,79617130496,-0.18
2016-12-28,300,3315.75,3301.89,3320.55,3293.17,690004,71759839232,-0.44
2016-12-29,300,3297.04,3297.76,3312.11,3288.1,700879,75972960256,-0.13
2016-12-30,300,3302.6,3310.08,3313.55,3295.75,717441,76921372672,0.37
2017-1-3,300,3313.95,3342.23,3345.26,3313.95,865678,87612768256,0.97
2017-1-4,300,3340.56,3368.31,3369.57,3338.15,900508,98014355456,0.78
2017-1-5,300,3368.34,3367.79,3373.41,3361.46,883363,91189338112,-0.02
2017-1-6,300,3366.85,3347.67,3368.87,3346.89,874591,91072258048,-0.6
2017-1-9,300,3345.75,3363.9,3366.22,3344.35,837079,87916118016,0.48
2017-1-10,300,3361.64,3358.27,3370.51,3354.09,838191,82533965824,-0.17
2017-1-11,300,3355.8,3334.5,3366.63,3334.3,910714,86750453760,-0.71
2017-1-12,300,3332.69,3317.62,3343.13,3315.96,812391,75031887872,-0.51
2017-1-13,300,3317.96,3319.91,3338.17,3309.37,841805,84556103680,0.07
2017-1-16,300,3314.15,3319.45,3322.78,3264.21,1577791,1.53263E+11,-0.01
2017-1-17,300,3305.6,3326.36,3327.38,3292.2,694533,74754506752,0.21
2017-1-18,300,3323.34,3339.37,3350.96,3320.41,706232,75680677888,0.39
2017-1-19,300,3330.95,3329.29,3346.5,3324.68,661598,63869710336,-0.3
2017-1-20,300,3326.98,3354.89,3358.41,3326.37,653004,70831325184,0.77
2017-1-23,300,3359.05,3364.08,3378.74,3355.85,755574,76492660736,0.27
2017-1-24,300,3363.14,3364.45,3371.32,3355.9,661942,66049650688,0.01
2017-1-25,300,3361.66,3375.9,3376.44,3357.22,583769,62483394560,0.34
2017-1-26,300,3378.26,3387.96,3395.88,3378.26,653166,66488819712,0.36
2017-2-3,300,3390.93,3364.49,3392.48,3362.57,551888,57113853952,-0.69
2017-2-6,300,3368.11,3373.21,3381.33,3358.75,685213,73408135168,0.26
2017-2-7,300,3371.77,3365.68,3376.71,3354.63,637544,69758181376,-0.22
